entity,relation,value
柳叶钝果寄生,治疗,孕妇腰痛
柳叶钝果寄生,治疗,安胎
蒌蒿,治疗,黄胆型
六角莲,治疗,毒蛇咬伤
六角莲,治疗,跌打损伤
锈毛络石,治疗,跌打损伤
细锥香茶菜,治疗,刀伤
宜昌楼梯草,治疗,火烫伤
红花龙胆,治疗,肝炎
红花龙胆,治疗,支气管炎
红花龙胆,治疗,小便不利
龙蒿,治疗,暑湿发热
龙蒿,治疗,虚劳
龙脷叶,治疗,咳嗽
龙脷叶,治疗,喉痛
龙脷叶,治疗,急性支气管炎
大叶金腰,治疗,小儿惊风
大叶金腰,治疗,耳部疾病
蛇莓,治疗,疮
蛇莓,治疗,蛇咬伤
蛇莓,治疗,烫伤
蛇莓,治疗,烧伤
蛇莓,治疗,支气管炎
蛇莓,治疗,农业害虫
蛇莓,治疗,杀蛆
蛇莓,治疗,孑孓
石蒜,治疗,咽喉肿痛
石蒜,治疗,痈肿疮毒
石蒜,治疗,瘰疬
石蒜,治疗,肾炎水肿
石蒜,治疗,毒蛇咬伤
多蕊木,治疗,跌打损伤
多蕊木,治疗,风湿骨痛
露兜树,治疗,感冒发热
露兜树,治疗,肾炎
露兜树,治疗,水肿
露兜树,治疗,腰腿痛
露兜树,治疗,疝气痛
露珠珍珠菜,治疗,肺结核
露珠珍珠菜,治疗,跌打损伤
鹿藿,治疗,风湿骨痛
鹿藿,治疗,气管炎
鹿藿,治疗,疮疥
灰岩皱叶报春,治疗,跌打痨伤
灰岩皱叶报春,治疗,风湿疼痛
绿花崖豆藤,治疗,跌打损伤
绿花玉凤花,治疗,毒疮
升麻,治疗,风热头痛
升麻,治疗,咽喉肿痛
升麻,治疗,斑疹不易透发
双花堇菜,治疗,跌打损伤
轮伞五加,治疗,风湿性关节痛
轮伞五加,治疗,小儿筋骨痿软
轮伞五加,治疗,跌打损伤
轮伞五加,治疗,阳萎
轮叶过路黄,治疗,肺结核咯血
轮叶过路黄,治疗,高血压
轮叶过路黄,治疗,毒蛇咬伤
密鳞紫金牛,治疗,腹痛
罗伞树,治疗,跌打损伤
无根藤,治疗,肾炎水肿
无根藤,治疗,尿路结石
无根藤,治疗,尿路感染
无根藤,治疗,跌打疖肿
无根藤,治疗,湿疹
斜叶黄檀,治疗,风湿
斜叶黄檀,治疗,跌打
斜叶黄檀,治疗,扭挫伤
裸花紫珠,治疗,外伤出血
裸花紫珠,治疗,跌打肿痛
裸花紫珠,治疗,风湿肿痛
裸花紫珠,治疗,肺结核咯血
裸花紫珠,治疗,胃肠出血
裸茎金腰,治疗,发烧
裸茎金腰,治疗,头痛
裸茎金腰,治疗,急性黄疸型肝炎
裸茎碎米荠,治疗,疔疮
紫荆,治疗,产后血气痛
紫荆,治疗,疮肿毒
紫荆,治疗,喉痹
紫荆,治疗,风湿筋骨痛
骆驼刺属,治疗,神经性头痛
毛萼香茶菜,治疗,脚气
野菰,治疗,骨髓炎
野菰,治疗,喉痛
山橙,治疗,疝气
山橙,治疗,腹痛
山橙,治疗,小儿疳积
山橙,治疗,消化不良
山橙,治疗,睾丸炎
云南蕊木,治疗,水肿
云南蕊木,治疗,咽喉炎
云南蕊木,治疗,扁桃腺炎
云南蕊木,治疗,风湿骨痛
云南蕊木,治疗,四肢麻木
马尿藤,治疗,跌打
马尿藤,治疗,皮肤病
马尿藤,治疗,感冒
马尿藤,治疗,肾炎
毛发唐松草,治疗,小儿高热
毛发唐松草,治疗,惊风
毛发唐松草,治疗,肺炎
蚂蝗七,治疗,小儿疳积
蚂蝗七,治疗,胃痛
蚂蝗七,治疗,跌打损伤
雪兔子,治疗,妇女病
雪兔子,治疗,风湿性关节炎
麦仙翁,治疗,百日咳
细野麻,治疗,皮肤发痒
细野麻,治疗,湿毒
麦蓝菜,治疗,经闭
麦蓝菜,治疗,乳汁不通
麦蓝菜,治疗,乳腺炎
麦蓝菜,治疗,痈疖肿痛
满江红,治疗,顽癣
合蕊五味子,治疗,风湿骨痛
合蕊五味子,治疗,跌打损伤
合蕊五味子,治疗,神经衰弱
细梗香草,治疗,流行性感冒
蔓剪草,治疗,跌打
蔓剪草,治疗,损伤
蔓荆,治疗,感冒
蔓荆,治疗,风热
蔓荆,治疗,神经性头痛
蔓荆,治疗,风湿骨痛
单叶蔓荆,治疗,头痛眩晕目痛
单叶蔓荆,治疗,湿痹拘挛
芒毛苣苔,治疗,风湿骨痛
野香橼花,治疗,慢性风湿疼痛
野香橼花,治疗,跌打损伤
猫爪草,治疗,淋巴结核
毛艹杭子梢,治疗,烫伤
毛茛属,治疗,淋巴结核
毛茛状金莲花,治疗,风湿
毛茛状金莲花,治疗,淋巴结核
蜀侧金盏花,治疗,痈疮肿毒
蜀侧金盏花,治疗,目赤肿痛
蜀侧金盏花,治疗,呕吐泻痢
毛茄,治疗,跌打
毛茄,治疗,疝气
毛球兰,治疗,跌打损伤
毛叶藤仲,治疗,骨折筋伤
毛叶藤仲,治疗,风湿骨痛
毛叶藤仲,治疗,外伤出血
毛叶芋兰,治疗,白浊
毛柱马钱,治疗,四肢麻木
毛柱马钱,治疗,瘫痪
玫瑰,治疗,胃气痛
玫瑰,治疗,月经不调
美果九节,治疗,细菌性痢疾
美果九节,治疗,肠炎腹泻
美果九节,治疗,咳嗽
美果九节,治疗,癫痈
美果九节,治疗,肾炎
美果九节,治疗,膀胱炎
美果九节,治疗,风湿性腰腿痛
美人蕉,治疗,风湿麻木
美人蕉,治疗,外伤出血
美人蕉,治疗,跌打
美人蕉,治疗,子宫下垂
美人蕉,治疗,心气痛
美蔷薇,治疗,脉管炎
美蔷薇,治疗,高血压
美蔷薇,治疗,头晕
蒙古栎,治疗,痢疾
蒙古莸,治疗,腹胀
蒙古莸,治疗,消化不良
蒙自豆腐柴,治疗,风湿
蒙自豆腐柴,治疗,筋骨痛
米念芭,治疗,风湿
密花豆,治疗,腰膝酸痛
密花豆,治疗,麻木瘫痪
密花豆,治疗,月经不调
密花山矾,治疗,跌打
密花远志,治疗,身体虚弱
线叶猪屎豆,治疗,耳鸣
线叶猪屎豆,治疗,遗精
线叶猪屎豆,治疗,妇女血痨
绵萆薢,治疗,风湿关节炎
绵萆薢,治疗,腰腿酸痛
绵萆薢,治疗,泌尿系统感染
绵萆薢,治疗,毒蛇咬伤
通脉丹,治疗,哮喘
绵三七,治疗,小儿疳积
绵三七,治疗,消化不良
绵三七,治疗,腹泻
绵三七,治疗,跌打损伤
棉团铁线莲,治疗,风湿症
棉团铁线莲,治疗,水肿
棉团铁线莲,治疗,神经痛
棉团铁线莲,治疗,痔疮肿痛
缅茄,治疗,牙痛
缅茄,治疗,眼病
滇刺枣,治疗,烧伤
桃榄,治疗,毒蛇咬伤
明党参,治疗,头晕
明党参,治疗,呕吐
明党参,治疗,目赤
明党参,治疗,白带
磨盘草,治疗,耳聋
圆萼刺参,治疗,关节疼痛
圆萼刺参,治疗,小便失禁
圆萼刺参,治疗,腰痛
圆萼刺参,治疗,眩晕
茉莉花,治疗,目赤肿痛
牡丹,治疗,中风
牡丹,治疗,腹痛
紫玉兰,治疗,鼻炎
紫玉兰,治疗,头痛
木槿,治疗,皮肤癣
木莲,治疗,便闭
木莲,治疗,干咳
乌榄,治疗,风湿腰腿痛
乌榄,治疗,手足麻木
乌榄,治疗,胃痛
乌榄,治疗,烫火伤
独一味,治疗,跌打损伤
独一味,治疗,筋骨疼痛
独一味,治疗,气滞闪腰
独一味,治疗,浮肿后流黄水
独一味,治疗,关节积黄水
独一味,治疗,骨松质发炎
黑蕊无心菜,治疗,腹水
黑叶小驳骨,治疗,骨折
黑叶小驳骨,治疗,跌打扭伤
黑叶小驳骨,治疗,关节炎
黑叶小驳骨,治疗,慢性腰腿痛
直缘乌头,治疗,风湿
异木患,治疗,痢疾
大果阿魏,治疗,虫积
大果阿魏,治疗,肉积
大果阿魏,治疗,心腹冷痛
大果琉璃草,治疗,扁桃体炎
大果琉璃草,治疗,疮疖痈肿
大果微花藤,治疗,肾炎
金叶树,治疗,跌打瘀肿
金叶树,治疗,风湿关节痛
金叶树,治疗,骨折
金叶树,治疗,脱臼
大花威灵仙,治疗,蛇咬伤
大花威灵仙,治疗,腹胀
大花威灵仙,治疗,牙痛
大花旋蒴苣苔,治疗,外伤出血
大花旋蒴苣苔,治疗,跌打损伤
大火草,治疗,痢疾
华南半蒴苣苔,治疗,咳嗽
华南半蒴苣苔,治疗,肺炎
华南半蒴苣苔,治疗,跌打损伤
华南半蒴苣苔,治疗,骨折
大落新妇,治疗,筋骨酸痛
大麻,治疗,大便燥结
大麻,治疗,经闭
大麻,治疗,健忘
大叶苎麻,治疗,疮疥
通城虎,治疗,胃痛
通城虎,治疗,胸腹胀痛
通城虎,治疗,风湿关节炎
幌伞枫,治疗,烧伤
幌伞枫,治疗,疖肿
幌伞枫,治疗,蛇伤
幌伞枫,治疗,风热感冒
大通翠雀花,治疗,肠炎腹泻
大通翠雀花,治疗,肝病
大尾摇,治疗,肺炎
大尾摇,治疗,多发性疖肿
大尾摇,治疗,睾丸炎
大吴风草,治疗,咳嗽
大吴风草,治疗,咯血
大吴风草,治疗,便血
大吴风草,治疗,月经不调
大吴风草,治疗,跌打损伤
大吴风草,治疗,乳腺炎
大叶匙羹藤,治疗,风湿
大叶凤仙花,治疗,风湿
大叶凤仙花,治疗,跌打内伤
大叶凤仙花,治疗,月经不调
大叶千斤拔,治疗,风湿骨痛
溪黄草,治疗,急性肝炎
溪黄草,治疗,急性胆囊炎
溪黄草,治疗,跌打瘀肿
大叶石上莲,治疗,跌打损伤
石上莲,治疗,刀伤出血
黄芦木,治疗,痢疾
黄芦木,治疗,黄疽
黄芦木,治疗,白带
黄芦木,治疗,关节肿痛
黄芦木,治疗,口疮
黄芦木,治疗,黄水疮
待宵草,治疗,感冒
待宵草,治疗,喉炎
狗牙花,治疗,眼病
狗牙花,治疗,疮疥
狗牙花,治疗,乳疮
狗牙花,治疗,癫狗咬伤
狗牙花,治疗,头痛
狗牙花,治疗,骨折
仪花,治疗,跌打损伤
仪花,治疗,骨折
仪花,治疗,风湿关节炎
仪花,治疗,外伤出血
单花荠,治疗,刀伤
单花莸,治疗,中暑
单花莸,治疗,感冒
单花莸,治疗,尿路感染
单花莸,治疗,白带
铁破锣,治疗,风湿感冒
铁破锣,治疗,风湿骨痛
铁破锣,治疗,目赤肿痛
单叶铁线莲,治疗,胃痛
单叶铁线莲,治疗,腹痛
单叶铁线莲,治疗,跌打损伤
单叶铁线莲,治疗,跌扑晕厥
单叶铁线莲,治疗,支气管炎
单叶铁线莲,治疗,腮腺炎
单叶铁线莲,治疗,气管炎
单叶铁线莲,治疗,疮肿毒
单叶铁线莲,治疗,咽喉炎
乌檀,治疗,急性扁桃体炎
乌檀,治疗,咽喉炎
乌檀,治疗,乳腺炎
当归藤,治疗,月经不调
当归藤,治疗,白带
当归藤,治疗,萎黄病
土牛膝,治疗,感冒发热
土牛膝,治疗,扁桃体炎
土牛膝,治疗,白喉
土牛膝,治疗,肾炎水肿
野百合,治疗,跌打损伤
野百合,治疗,疮毒
野百合,治疗,癣疥
野西瓜苗,治疗,烫伤
野西瓜苗,治疗,烧伤
野西瓜苗,治疗,急性关节炎
山菠菜,治疗,淋病
山菠菜,治疗,瘰病
地蚕,治疗,跌打
地蚕,治疗,疮毒
地蚕,治疗,去风毒
中华天胡荽,治疗,腹痛
中华天胡荽,治疗,小便不利
中华天胡荽,治疗,湿疹
地肤,治疗,尿痛
地肤,治疗,小便不利
地肤,治疗,荨麻疹
地埂鼠尾草,治疗,肺病
线叶山土瓜,治疗,小儿疳积
线叶山土瓜,治疗,慢性肝炎
线叶山土瓜,治疗,咳嗽
地黄连,治疗,五痨咳嗽
地黄连,治疗,跌打损伤
地黄连,治疗,风湿病
地涌金莲,治疗,白带
地涌金莲,治疗,红崩
地涌金莲,治疗,大肠下血
皱果蛇莓,治疗,蛇咬
皱果蛇莓,治疗,烫伤
皱果蛇莓,治疗,疮
地锦苗,治疗,跌打
锁阳,治疗,阳痿遗精
锁阳,治疗,腰膝酸软
锁阳,治疗,肠燥便秘
锁阳,治疗,瘫痪
地蔷薇,治疗,风湿性关节炎
野芝麻,治疗,泌尿系统疾患
野芝麻,治疗,白带
野芝麻,治疗,行经困难
野芝麻,治疗,跌打损伤
野芝麻,治疗,小儿疳积
地榆,治疗,烧伤
地榆,治疗,烫伤
滇丁香,治疗,百日咳
滇丁香,治疗,慢性支气管炎
滇丁香,治疗,肺结核
滇丁香,治疗,月经不调
滇丁香,治疗,痛经
滇丁香,治疗,风湿疼痛
滇丁香,治疗,偏头疼
滇丁香,治疗,尿路感染
滇丁香,治疗,尿路结石
滇丁香,治疗,病后头昏
滇丁香,治疗,心慌
滇丁香,治疗,毒蛇咬伤
滇桂喜鹊苣苔,治疗,骨髓炎
滇南草乌,治疗,风寒湿痹
滇南草乌,治疗,跌打损伤
滇南冠唇花,治疗,感冒风寒
滇南冠唇花,治疗,消化不良
滇南冠唇花,治疗,气胀腹痛
滇南冠唇花,治疗,肠炎痢疾
滇南冠唇花,治疗,小儿腹泻
滇南冠唇花,治疗,妇科腰痛
广西芒毛苣苔,治疗,关节炎
滇紫草属,治疗,烧烫伤
滇紫草属,治疗,冻伤
滇紫草属,治疗,下肢溃疡
滇紫草属,治疗,痈肿
滇紫草属,治疗,湿疹
滇紫草属,治疗,慢性肝炎
滇紫草属,治疗,绒毛膜上皮癌
滇紫草属,治疗,便秘
吊石苣苔,治疗,跌打损伤
叠裂银莲花,治疗,烧伤
蝶须,治疗,创伤
蝶须,治疗,咳嗽
乌柿,治疗,心气痛
东方泽泻,治疗,肾炎水肿
东方泽泻,治疗,肾盂肾炎
东方泽泻,治疗,肠炎泄泻
东方泽泻,治疗,小便不利
东风菜,治疗,风毒壅热
东风菜,治疗,头痛目眩
东风菜,治疗,肝热眼赤
冬青,治疗,烧伤
冬青,治疗,下肢溃疡
冬青,治疗,皮炎
冬青,治疗,湿疹
冬青,治疗,脚手皮裂
冬青,治疗,烧伤烫伤
冬青,治疗,冻疮
冬青,治疗,乳腺炎
豆瓣绿,治疗,风湿性关节炎
豆瓣绿,治疗,支气管炎
豆瓣绿,治疗,扭伤
豆瓣绿,治疗,骨折
豆瓣绿,治疗,痈疮疖肿
杜虹花,治疗,咳血
杜虹花,治疗,吐血
杜虹花,治疗,鼻出血
杜虹花,治疗,创伤出血
杜虹花,治疗,风湿痛
杜虹花,治疗,扭挫伤
杜虹花,治疗,喉炎
杜虹花,治疗,结膜炎
杜鹃,治疗,月经不调
杜鹃,治疗,风湿
杜若,治疗,虫咬伤
杜若,治疗,腰痛
雪灵芝,治疗,肺病
短柄乌头,治疗,感冒
短柄乌头,治疗,头痛
展毛短柄乌头,治疗,风湿关节痛
展毛短柄乌头,治疗,跌打损伤
展毛短柄乌头,治疗,外伤出血
短茎半蒴苣苔,治疗,过敏性皮炎
短穗兔耳草,治疗,高血压
短穗兔耳草,治疗,肺病
短穗兔耳草,治疗,肺炎
堆花小檗,治疗,目赤
堆花小檗,治疗,咽喉肿痛
堆花小檗,治疗,腹泻
堆花小檗,治疗,牙痛
盾果草,治疗,咽喉痛
盾果草,治疗,乳痛
盾果草,治疗,疔疮
钝叶黄芩,治疗,泻痢
钝叶黄芩,治疗,感冒
钝叶柃,治疗,胸炎
钝叶柃,治疗,泻痢
多裂乌头,治疗,跌打
多裂乌头,治疗,无名肿毒
多脉紫金牛,治疗,腹痛
多脉紫金牛,治疗,便血
多伞阿魏,治疗,心腹冷痛
多伞阿魏,治疗,肠胃炎
多伞阿魏,治疗,关节炎
海边马兜铃,治疗,咽喉肿痛
海芙蓉,治疗,风湿疼痛
海芙蓉,治疗,高血压
海金沙,治疗,筋骨疼痛
海榄雌,治疗,痢疾
海南狗牙花,治疗,毒蛇咬伤
海南狗牙花,治疗,风湿骨痛
海南狗牙花,治疗,乳痈
海南狗牙花,治疗,疖肿
海南狗牙花,治疗,跌打瘀痛
海南三七,治疗,跌打损伤
海南香花藤,治疗,皮肤病
海桐花属,治疗,毒蛇咬伤
海州香薷,治疗,头痛
海州香薷,治疗,发热
海州香薷,治疗,恶寒
海州香薷,治疗,无汗
海州香薷,治疗,腹痛
海州香薷,治疗,吐泻
海州香薷,治疗,水肿
海州香薷,治疗,脚气
诃子,治疗,慢性痢疾
紫花合掌消,治疗,跌打损伤
河边千斤拔,治疗,风湿关节痛
正鸡纳树,治疗,疟疾
鹤草,治疗,痢疾
鹤草,治疗,肠炎
鹤草,治疗,蝮蛇咬伤
鹤草,治疗,挫伤
鹤草,治疗,扭伤
狭叶蓬莱葛,治疗,风湿骨痛
黑蕊虎耳草,治疗,眼病
红背山麻杆,治疗,风疹
红葱,治疗,心悸
红葱,治疗,头晕
红葱,治疗,外伤出血
红葱,治疗,痢疾
红茴香,治疗,跌打
红茴香,治疗,风湿
红敷地发,治疗,痨咳
红根草,治疗,感冒
红根草,治疗,咳嗽咯血
红根草,治疗,肠炎
红根草,治疗,痢疾
红根草,治疗,肝炎
红根草,治疗,风湿性关节炎
红根草,治疗,痛经
红根草,治疗,白带
红根草,治疗,乳腺炎
红根草,治疗,毒蛇咬伤
红根草,治疗,跌打损伤
红根草,治疗,菌痢
红根草,治疗,腹泻
红根草,治疗,腹痛
野芋,治疗,无名肿毒
野芋,治疗,疥疮
野芋,治疗,吊脚癀
野芋,治疗,痈肿疮毒
野芋,治疗,虫蛇咬伤
野芋,治疗,急性颈淋巴腺炎
红果黄肉楠,治疗,脚癣
红果黄肉楠,治疗,烫火伤
红果黄肉楠,治疗,痔疮
红虎耳草,治疗,肝炎
红虎耳草,治疗,胆囊炎
红虎耳草,治疗,流行性感冒
红花琉璃草,治疗,肺痨吐血
红花琉璃草,治疗,鼻出血
洋紫荆,治疗,消化不良
红球姜,治疗,肚痛
红球姜,治疗,腹泻
小萼飞蛾藤,治疗,咳嗽
皂柳,治疗,风湿性关节炎
山乌桕,治疗,跌打扭伤
山乌桕,治疗,痈疮
山乌桕,治疗,毒蛇咬伤
山乌桕,治疗,便秘
红芽大戟,治疗,水肿
红芽大戟,治疗,腹胀急痛
血苋,治疗,吐血
红紫珠,治疗,妇女红
红紫珠,治疗,白带症
天师栗,治疗,胃痛
厚壳树,治疗,感冒
厚壳树,治疗,偏头痛
厚壳树,治疗,跌打损伤
厚壳树,治疗,骨折
厚壳树,治疗,肠炎腹泻
厚藤,治疗,风湿性腰腿痛
厚藤,治疗,腰肌劳损
厚叶素馨,治疗,口腔炎
忽地笑,治疗,小儿麻痹后遗症
狐臭柴,治疗,月经不调
狐臭柴,治疗,牙痛
槲蕨,治疗,跌打损伤
槲蕨,治疗,腰膝酸痛
花椒,治疗,胃腹冷痛
花椒,治疗,呕吐
花椒,治疗,泄泻
花葶驴蹄草,治疗,筋骨疼痛
华凤仙,治疗,肺结核
华凤仙,治疗,喉头肿痛
华凤仙,治疗,热痢
华凤仙,治疗,小便混浊
华凤仙,治疗,湿热带下
华凤仙,治疗,痈疮肿毒
华幌伞枫,治疗,疮
华幌伞枫,治疗,跌打
华山矾,治疗,疟疾
华山矾,治疗,急性肾炎
华山矾,治疗,疮疡
华山矾,治疗,跌打
华山矾,治疗,烧伤烫伤
华山矾,治疗,外伤出血
华山矾,治疗,蛇伤
华山姜,治疗,腹痛泄泻
华山姜,治疗,消化不良
滑叶藤,治疗,风湿筋骨痛
滑叶藤,治疗,跌打损伤
滑叶藤,治疗,骨折
滑叶藤,治疗,疮疖
滑叶藤,治疗,刀伤出血
槐叶苹,治疗,湿疹
黄皮,治疗,腹痛
黄皮,治疗,胃痛
黄皮,治疗,感冒发热
小黄构,治疗,风火牙痛
小黄构,治疗,哮喘
小黄构,治疗,百日咳
黄花大苞姜,治疗,蛇伤
三棱枝艹杭子梢,治疗,肠风下血
三棱枝艹杭子梢,治疗,高热
三棱枝艹杭子梢,治疗,赤痢
三棱枝艹杭子梢,治疗,乳腺炎
三棱枝艹杭子梢,治疗,跌打损伤
黄花铁线莲,治疗,慢性风湿性关节炎
黄花羊蹄甲,治疗,痢疾
黄花羊蹄甲,治疗,溃疡
黄金凤,治疗,风湿
黄金凤,治疗,跌打
黄金凤,治疗,烫伤
黄荆,治疗,久痢
火索藤,治疗,风湿性关节炎
黄牛木,治疗,感冒
黄牛木,治疗,腹泻
黄细心,治疗,气喘
黄细心,治疗,黄疸病
圆锥铁线莲,治疗,恶肿
圆锥铁线莲,治疗,疮瘘
圆锥铁线莲,治疗,蛇犬咬伤
黄珠子草,治疗,小儿疳积
螳螂跌打,治疗,跌打损伤
螳螂跌打,治疗,骨折
螳螂跌打,治疗,风湿骨痛
螳螂跌打,治疗,腰腿痛
灰毛牡荆,治疗,胃痛
灰毛牡荆,治疗,外感风寒
灰毛牡荆,治疗,疟疾
灰罗勒,治疗,皮肤病
灰楸,治疗,皮肤病
灰楸,治疗,稻螟
灰叶堇菜,治疗,跌打损伤
喙果黑面神,治疗,风湿骨痛
喙果黑面神,治疗,湿疹
喙果黑面神,治疗,皮炎
中国无忧花,治疗,风湿
中国无忧花,治疗,月经过多
太白棱子芹,治疗,胃寒腹痛
太白棱子芹,治疗,腹胀
太白棱子芹,治疗,白带
三白草,治疗,尿路感染
三白草,治疗,尿路结石
三白草,治疗,脚气水肿
三白草,治疗,营养性水肿
三白草,治疗,痈疮疖肿
三白草,治疗,皮肤湿疹
藤山柳属,治疗,肠痈
藤山柳属,治疗,背痈
西归芹,治疗,跌打损伤
西归芹,治疗,贫血
小扁豆,治疗,疟疾
小扁豆,治疗,身体虚弱
田方骨,治疗,跌打损伤
田方骨,治疗,骨折
贴生石韦,治疗,腮腺炎
贴生石韦,治疗,瘰疬
条裂铁线蕨,治疗,淋浊
条裂铁线蕨,治疗,淋巴结核
条裂铁线蕨,治疗,镇咳
铁线莲,治疗,痛风
铁线莲,治疗,虫蛇咬伤
铁仔,治疗,风火牙痛
铁仔,治疗,咽喉痛
铁仔,治疗,脱肛
铁仔,治疗,子宫脱垂
铁仔,治疗,肠炎
铁仔,治疗,痢疾
铁仔,治疗,红淋
铁仔,治疗,风湿
铁仔,治疗,虚劳
铁仔,治疗,刀伤
通天连,治疗,跌打
通天连,治疗,疮疥
通天连,治疗,手指疮
铜锤玉带草,治疗,风湿
铜锤玉带草,治疗,跌打损伤
西南银莲花,治疗,跌打损伤
头花猪屎豆,治疗,跌打损伤
头花猪屎豆,治疗,关节肿痛
异色黄芩,治疗,感冒
异色黄芩,治疗,高热
异色黄芩,治疗,胃肠炎
异色黄芩,治疗,咽喉肿痛
异色黄芩,治疗,中耳炎
西南风铃草,治疗,风湿
兔儿伞,治疗,腰腿疼痛
兔儿伞,治疗,跌打损伤
橐吾属,治疗,支气管炎
橐吾属,治疗,咳喘
橐吾属,治疗,肺结核
橐吾属,治疗,咯血
娃儿藤,治疗,风湿腰痛
娃儿藤,治疗,跌打损伤
娃儿藤,治疗,胃痛
娃儿藤,治疗,哮喘
娃儿藤,治疗,毒蛇咬伤
云南沉香,治疗,消化不良
云南沉香,治疗,胃胀
云南沉香,治疗,气痛
弯花筋骨草,治疗,痢疾
文殊兰,治疗,跌打损伤
文殊兰,治疗,风热头痛
文殊兰,治疗,热毒疮肿
蚊母草,治疗,跌打损伤
蚊母草,治疗,瘀血肿痛
蚊母草,治疗,骨折
双叶细辛,治疗,胃痛
五月茶,治疗,跌打损伤
巫溪紫堇,治疗,无名肿毒
五彩芋,治疗,骨折
蛇含委陵菜,治疗,疮毒
蛇含委陵菜,治疗,痛肿
蛇含委陵菜,治疗,蛇虫咬伤
五匹青,治疗,腰痛
尖叶五匹青,治疗,跌打损伤
毛叶五匹青,治疗,淋巴结核
五叶参,治疗,风湿关节痛
鹰爪花,治疗,疟疾
山地虎耳草,治疗,头痛
山地虎耳草,治疗,神经痛
山葛薯,治疗,跌打损伤
三对节,治疗,疟疾
三对节,治疗,痢疾
三对节,治疗,头痛
三对节,治疗,眼炎
