id	name
http://www.wikidata.org/entity/Q11095119	杂高粱Sorghum almum
http://www.wikidata.org/entity/Q1104549	杂景天..
http://www.wikidata.org/entity/Q11095113	杂交景1天
http://www.wikidata.org/entity/Q11095112	杂各尔手把5
http://www.wikidata.org/entity/Q11095117	杂7交鹅观草
http://www.wikidata.org/entity/Q11095257	杂交苜蓿8
http://www.wikidata.org/entity/Q11056788	杂多雪灵芝3
http://www.wikidata.org/entity/Q11090332	杂多紫堇68
http://www.wikidata.org/entity/Q14657902	杂配轴藜9
http://www.wikidata.org/entity/Q11068900	杂色杜鹃.
http://www.wikidata.org/entity/Q23654789	杂色钟报春;
http://www.wikidata.org/entity/Q11032423	杂色榕'